i-Route Solutions, 6
Duramas Cía. Ltda. Matriz, 12
GALAVOYAGER, 6
IMnegocios, 6
GEDATECU SA, 7
iT/Corp (Innovatecorp S.A.), 6
Sermatick, 6
Sifizsoft S.A., 20
MEDIUM Multimedia, 6
Marco Maldonado, 12
SIBERIAN, 14
InSoft, 6
Bangara S.A., 6
Corporación Kruger, 6
KARNATAKA S.A., 5
Granistone, 2
ACTIVE FUN DIVERSION S.A., 2
Preysi cia. ltda., 2
Alcristal C.A., 2
Comercial Industrial Ampre S.A., 2
Induvit, 2
JG Construcciones S.A., 4
Hospiplan Cia. Ltda., 2
ALGLASS ECUADOR, 2
Fibrador, 2
KONSTRUIE, 2
Confidencial, 104
SATCOM S.A., 8
AUDITORIA INTEGRAL Y GESTIÓN CONTABLE AUDITED CIA LTDA, 8
Ecuasanitas, 8
SEDEMI, 8
COOPERATIVA DE AHORRO Y CREDITO SAN FRANCISCO LTDA., 8
MARCIMEX, 8
Banco Solidario, 8
Solución S.A., 8
BANGARA S.A, 8
SERTECPET S.A., 8
PROFACTURA, 8
ECUANEXUS, 8
SIFIZSOFT S.A., 20
ADECCO, 8
Alimentos La Italiana, 8
STACK BUILDERS, 8
